id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
0,1,1017.4,21.2,20.6,19.9,19.4,87.0,88.0,1.1,60.0,17.2,1
1,2,1019.5,16.2,16.9,15.8,15.4,95.0,91.0,0.0,50.0,21.9,1
2,3,1024.1,19.4,16.1,14.6,9.3,75.0,47.0,8.3,70.0,18.1,1
3,4,1013.4,18.1,17.8,16.9,16.8,95.0,95.0,0.0,60.0,35.6,1
4,5,1021.8,21.3,18.4,15.2,9.6,52.0,45.0,3.6,40.0,24.8,0
5,6,1022.7,20.6,18.6,16.5,12.5,79.0,81.0,0.0,20.0,15.7,1
6,7,1022.8,19.5,18.4,15.3,11.3,56.0,46.0,7.6,20.0,28.4,0
7,8,1019.7,15.8,13.6,12.7,11.8,96.0,100.0,0.0,50.0,52.8,1
8,9,1017.4,17.6,16.5,15.6,12.5,86.0,100.0,0.0,50.0,37.5,1
9,10,1025.4,16.5,14.4,12.0,8.6,77.0,84.0,1.0,50.0,38.3,0
10,11,1016.8,16.3,15.3,14.1,14.0,97.0,100.0,0.0,40.0,24.4,1
11,12,1012.5,16.2,15.2,14.0,12.4,98.0,100.0,0.0,50.0,23.5,1
12,13,1020.4,15.0,15.5,13.2,12.0,77.0,86.0,0.0,50.0,32.4,1
13,14,1012.5,13.5,12.9,11.6,11.8,87.0,92.0,0.0,50.0,37.0,1
14,15,1018.4,17.8,16.5,15.1,12.1,77.0,85.0,1.2,40.0,20.9,1
15,16,1024.3,15.3,12.9,10.0,11.2,79.0,91.0,0.3,20.0,20.0,1
16,17,1022.5,16.3,13.1,11.4,2.0,79.0,70.0,6.8,20.0,30.3,1
17,18,1034.6,17.5,16.2,14.1,11.8,68.0,60.0,2.5,50.0,13.4,0
18,19,1024.1,16.8,15.8,14.0,12.9,76.0,77.0,0.0,20.0,20.5,1
19,20,1020.2,16.4,14.2,12.7,11.6,75.0,93.0,0.1,40.0,21.9,1
20,21,1022.4,17.7,16.4,14.8,11.3,92.0,88.0,0.4,30.0,41.3,1
21,22,1022.6,21.9,17.8,15.8,14.3,52.0,49.0,9.1,50.0,10.2,0
22,23,1020.6,18.5,17.3,16.9,16.8,95.0,95.0,0.0,60.0,39.5,1
23,24,1013.0,24.8,19.9,17.1,18.1,90.0,92.0,0.0,70.0,30.4,1
24,25,1012.5,23.8,22.2,20.4,20.8,84.0,88.0,0.0,70.0,30.2,1
25,26,1019.5,25.3,22.3,21.0,20.6,76.0,78.0,10.2,80.0,10.2,1
26,27,1013.4,23.8,21.1,19.8,19.6,92.0,95.0,0.0,40.0,15.9,1
27,28,1017.0,21.7,20.3,19.4,17.9,80.0,80.0,2.6,50.0,14.5,1
