MES,CLIENTE,NRO_VEC_COB,PDPs_ROTAS,ESTADO_PDP,NRO_CUOTAS,MES_0,MES_1,MES_2,FECHALLAMADA,HORA,DEUDA_TOTAL,ESTATUS,ACTIVACION,MORA,TIPOCONTACTO
201402,C00001,,0,0,"<24, 48]",244.86,0,245.26,03/02/2014,15,3816.34,BT,2012,1,COEF
201402,C00002,<=10,0,0,>48,610.58,612.69,611.54,18/02/2014,9,13620.5,BT,2012,1,COEF
201402,C00003,<=10,>0,0,"<24, 48]",2138.73,0,,05/02/2014,16,18968.5,BT,2013,0,CNE
201402,C00004,>10,0,0,"<24, 48]",323.07,46.85,74.26,24/02/2014,19,2459.84,BT,2012,0,CNE
201402,C00005,<=10,0,0,"<24, 48]",920.54,0,0,12/02/2014,14,6591.76,BT,2013,0,CNE
201402,C00006,<=10,0,0,"<24, 48]",364.27,371.11,0,06/02/2014,7,9836.38,BT,2013,1,CNE
201402,C00007,<=10,0,0,>48,692.77,287.31,718.96,05/02/2014,16,26889.9,BT,2013,1,CNE
201402,C00008,>10,0,0,>48,364.24,728.67,366.12,12/02/2014,9,5491.04,BT,2011,1,CNE
201402,C00009,<=10,0,0,>48,492.95,0,492.97,10/02/2014,11,14985.3,BT,2013,1,COEF
201402,C00011,>10,0,0,>48,653.41,648.31,670.51,04/02/2014,12,18148.1,BT,2010,1,CNE
201402,C00012,>10,0,0,"<24, 48]",548.02,555.44,521.46,06/02/2014,10,15415.1,BT,2012,1,COEF
201402,C00014,,0,0,"<24, 48]",839.04,1401.76,0,12/02/2014,20,9155.2,BT,2012,1,CNE
201402,C00015,,0,0,"<24, 48]",70.64,0,0,04/02/2014,14,4876.47,BT,2013,1,CNE
201402,C00016,,>0,0,"<24, 48]",113.25,211.33,212.62,26/02/2014,9,3146.65,BT,2012,1,CNE
201402,C00017,<=10,0,0,"<24, 48]",693.22,693.66,0,17/02/2014,11,18535,BT,2012,1,COEF
201402,C00018,,0,0,,1056.91,0,0,07/02/2014,10,1058.03,BT,2013,0,CNE
201402,C00019,<=10,0,0,<=24,466.27,467.04,0,06/02/2014,12,3791.15,BT,2012,1,CNE
201402,C00020,,0,0,>48,1259.75,1897.53,0,28/02/2014,9,14389.9,BT,2012,0,CNE
201402,C00021,>10,0,0,"<24, 48]",240.04,240.79,240.57,18/02/2014,7,3632.16,BT,2012,1,COEF
201402,C00022,<=10,0,0,"<24, 48]",207.24,206.08,0,19/02/2014,10,3242.09,BT,2012,1,CNE
201402,C00023,<=10,0,0,"<24, 48]",409.98,405.26,422.27,10/02/2014,18,9710.75,BT,2013,1,COEF
201402,C00024,,0,0,>48,786.41,0,0,05/02/2014,12,9094.24,BT,2011,1,CNE
201402,C00025,>10,0,0,"<24, 48]",363.14,363.14,363.01,04/02/2014,7,4178.66,BT,2012,1,CNE
201402,C00026,>10,0,0,"<24, 48]",381.31,302.27,722.14,03/02/2014,16,15190.9,BT,2012,1,CNE
201402,C00027,,0,0,<=24,42.21,0,0,04/02/2014,7,25554.3,BT,2013,1,CNE
201402,C00028,>10,0,0,"<24, 48]",1650.64,0,,25/02/2014,19,9615.35,BT,2010,0,CNE
201402,C00029,>10,0,0,,386.09,0,0,03/02/2014,10,8609.38,BT,2012,1,COEF
201402,C00030,<=10,0,0,,127.69,442.95,448.54,24/02/2014,7,4628.75,BT,2012,1,CNE
201402,C00032,,0,0,"<24, 48]",529.65,1.69,526.97,17/02/2014,19,9901.73,BT,2013,1,CNE
201402,C00033,>10,0,0,>48,372.38,374.46,374.63,12/02/2014,10,5927.97,BT,2011,1,CNE
201402,C00034,<=10,0,0,"<24, 48]",441.63,1.17,0,06/02/2014,8,11045.9,BT,2012,1,CNE
201402,C00036,<=10,0,0,>48,607.85,0,189.48,04/02/2014,12,18166.6,BT,2013,1,CNE
201402,C00037,,0,0,"<24, 48]",49.31,68.7,50.38,11/02/2014,16,24985.5,BT,2013,1,CNE
201402,C00039,<=10,0,0,"<24, 48]",2331.3,0,0,21/02/2014,16,20544.2,BT,2012,0,CNE
201402,C00040,>10,0,0,>48,1653.31,0,324.09,05/02/2014,18,55564.3,BT,2012,1,CNE
