FECHA_DESEMBOLSO,PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,FECHA_CORTE
20220107,FCTP,LIMA,LIMA,LURIN,150119,INTERBANK,BANCO,47962.35,21200.00,240,15.00,106000.00,20230526
20220113,FCTP,LIMA,CANIETE,MALA,150509,CONTINENTAL,BANCO,20417.01,26782.99,180,13.00,85700.00,20230526
20220126,FCTP,LIMA,LIMA,LURIN,150119,INTERBANK,BANCO,45167.25,20000.00,240,15.00,102000.00,20230526
20220118,FCTP,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,CMAC HUANCAYO,CMAC,40290.00,4200.00,84,13.99,82990.00,20230526
20220118,FCTP,LIMA,CANIETE,MALA,150509,CONTINENTAL,BANCO,38914.94,8285.06,240,13.00,85700.00,20230526
20220118,FCTP,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CONTINENTAL,BANCO,39530.00,8670.00,120,13.00,86700.00,20230526
20220120,FCTP,LIMA,CANIETE,MALA,150509,CONTINENTAL,BANCO,28769.85,7205.15,120,13.00,84100.00,20230526
20220120,FCTP,ANCASH,CASMA,COMANDANTE NOEL,020803,CMAC MAYNAS,CMAC,16950.00,550.00,84,14.03,55000.00,20230526
20220121,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,27500.00,4000.00,120,13.99,70000.00,20230526
20220121,FCTP,ICA,ICA,LA TINGUINIA,110102,CMAC HUANCAYO,CMAC,38630.00,8570.00,120,15.93,85700.00,20230526
20220121,FCTP,ICA,ICA,LA TINGUINIA,110102,CMAC HUANCAYO,CMAC,40160.00,8740.00,120,13.99,87400.00,20230526
20220121,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,21000.00,3500.00,60,15.93,63000.00,20230526
20220121,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,29400.00,2100.00,120,13.99,70000.00,20230526
20220121,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,33490.00,10000.00,84,13.99,81990.00,20230526
20220121,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,36490.00,5000.00,240,13.99,79990.00,20230526
20220121,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,11500.00,15000.00,60,15.99,65000.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,44530.00,4370.00,120,13.50,87400.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,45530.00,4370.00,120,13.50,87400.00,20230526
20220113,FCTP,ICA,ICA,LOS AQUIJES,110103,CMAC TRUJILLO,CMAC,18149.00,4925.00,235,14.25,61574.00,20230526
20220111,FCTP,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,250102,CMAC MAYNAS,CMAC,36650.00,50.00,180,13.00,74000.00,20230526
20220111,FCTP,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,250102,CMAC MAYNAS,CMAC,36650.00,50.00,300,13.00,74000.00,20230526
20220111,FCTP,LIMA,CANIETE,MALA,150509,CONTINENTAL,BANCO,31000.00,16200.00,240,13.00,85700.00,20230526
20220113,FCTP,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,250102,CMAC MAYNAS,CMAC,32600.00,100.00,240,13.89,70000.00,20230526
20220107,FCTP,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,250102,CMAC MAYNAS,CMAC,36650.00,50.00,120,13.89,74000.00,20230526
20220107,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,44530.00,4370.00,180,18.50,87400.00,20230526
20220107,FCTP,LIMA,CANIETE,MALA,150509,CONTINENTAL,BANCO,40410.00,6790.00,180,13.00,85700.00,20230526
20220107,FCTP,LIMA,CANIETE,MALA,150509,CONTINENTAL,BANCO,39043.00,8157.00,120,13.00,85700.00,20230526
20220107,FCTP,LIMA,CANIETE,MALA,150509,CONTINENTAL,BANCO,41900.00,5300.00,120,13.00,85700.00,20230526
20220107,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,44530.00,4370.00,60,13.50,87400.00,20230526
20220107,FCTP,ICA,ICA,LOS AQUIJES,110103,CMAC ICA,CMAC,39590.00,4110.00,72,13.50,82200.00,20230526
20220107,FCTP,ANCASH,CASMA,COMANDANTE NOEL,020803,CMAC MAYNAS,CMAC,27300.00,200.00,72,14.03,65000.00,20230526
20220107,FCTP,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CONTINENTAL,BANCO,43900.00,5000.00,120,13.00,87400.00,20230526
20220107,FCTP,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CONTINENTAL,BANCO,35790.00,13110.00,120,13.00,87400.00,20230526
20220113,FCTP,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,250102,CMAC MAYNAS,CMAC,25400.00,100.00,60,13.89,64000.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,37800.00,10000.00,120,13.50,86300.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,45530.00,4370.00,240,13.50,87400.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,31226.80,3617.20,240,13.50,72344.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,32750.00,3750.00,120,13.50,75000.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,30075.00,5000.00,120,13.50,82200.00,20230526
20220121,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,41200.00,4300.00,180,13.50,84000.00,20230526
20220125,FCTP,ICA,PISCO,PISCO,110501,CMAC HUANCAYO,CMAC,31800.00,5000.00,240,15.99,74425.00,20230526
20220125,FCTP,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,CMAC HUANCAYO,CMAC,41490.00,5000.00,120,13.99,84990.00,20230526
20220125,FCTP,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CMAC HUANCAYO,CMAC,38440.00,4050.00,180,13.99,80990.00,20230526
20220125,FCTP,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,CMAC HUANCAYO,CMAC,38490.00,3000.00,120,13.99,79990.00,20230526
20220125,FCTP,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CMAC HUANCAYO,CMAC,37490.00,4000.00,120,8.09,79990.00,20230526
20220125,FCTP,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,CMAC HUANCAYO,CMAC,21490.00,23000.00,60,15.99,82990.00,20230526
20220125,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,27609.60,7234.40,100,13.50,72344.00,20230526
20220125,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,32750.00,3750.00,240,13.50,75000.00,20230526
20220125,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,42915.00,4285.00,180,13.50,85700.00,20230526
20220125,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,14500.00,10000.00,240,15.99,63000.00,20230526
20220125,FCTP,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,220101,CMAC HUANCAYO,CMAC,16600.00,1000.00,240,15.99,55000.00,20230526
20220126,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,20375.00,5000.00,60,13.99,63000.00,20230526
20220126,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,39490.00,4000.00,120,15.49,81990.00,20230526
20220126,FCTP,ICA,ICA,ICA,110101,CMAC ICA,CMAC,42915.00,4285.00,60,13.50,85700.00,20230526
20220126,FCTP,LA LIBERTAD,VIRU,VIRU,131201,CAC PACIFICO,CAC,22031.00,3200.00,120,17.00,62856.00,20230526
20220126,FCTP,LA LIBERTAD,VIRU,VIRU,131201,CAC PACIFICO,CAC,26300.00,3600.00,120,17.00,68400.00,20230526
20220126,FCTP,LA LIBERTAD,VIRU,VIRU,131201,CAC PACIFICO,CAC,26300.00,5600.00,84,17.00,70400.00,20230526
20220126,FCTP,LA LIBERTAD,VIRU,VIRU,131201,CAC PACIFICO,CAC,17900.00,12000.00,60,17.00,68400.00,20230526
20220126,FCTP,LA LIBERTAD,VIRU,VIRU,131201,CAC PACIFICO,CAC,28300.00,3600.00,120,17.00,70400.00,20230526
20220126,FCTP,ICA,CHINCHA,ALTO LARAN,110202,CAC PACIFICO,CAC,29150.00,3515.00,48,17.00,70290.00,20230526
20220126,FCTP,ICA,CHINCHA,ALTO LARAN,110202,CAC PACIFICO,CAC,25390.00,2275.00,84,17.00,65290.00,20230526
20220126,FCTP,ICA,CHINCHA,ALTO LARAN,110202,CAC PACIFICO,CAC,28090.00,500.00,108,17.00,67090.00,20230526
20220126,FCTP,ICA,CHINCHA,ALTO LARAN,110202,CAC PACIFICO,CAC,22440.00,4350.00,48,17.00,65290.00,20230526
20220126,FCTP,LA LIBERTAD,VIRU,VIRU,131201,CAC PACIFICO,CAC,6200.00,25000.00,24,17.00,69700.00,20230526
20220126,FCTP,ICA,CHINCHA,ALTO LARAN,110202,CAC PACIFICO,CAC,22441.80,3264.50,96,17.00,63331.30,20230526
20220126,FCTP,ICA,CHINCHA,ALTO LARAN,110202,CAC PACIFICO,CAC,26490.00,10000.00,120,17.00,74990.00,20230526
20220126,FCTP,LA LIBERTAD,VIRU,VIRU,131201,CAC PACIFICO,CAC,11200.00,20000.00,48,17.00,69700.00,20230526
