,Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
0,2019,Acura,MDX,53052 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Majestic Black Pearl,Red,,,Gas,12.2L/100km,9.0L - 9.5L/100km,43880
1,2018,Acura,MDX,77127 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Modern Steel Metallic,Black,,,Gas,12.6L/100km,9.0L/100km,36486
2,2019,Acura,RDX,33032 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,White Diamond Pearl,Black,5.0,4,Premium Unleaded,11.0L/100km,8.6L/100km,40888
3,2020,Acura,RDX,50702 km,SUV,4 Cylinder Engine,,AWD,Platinum White Pearl,Black,,,Gas,11.0L/100km,8.6L/100km,44599
4,2021,Acura,RDX,67950 km,SUV,4 Cylinder Engine,,AWD,Apex Blue Pearl,Red,,,Gas,11.3L/100km,9.1L/100km,46989
5,2022,Acura,MDX,31000 km,SUV,3.5L,Automatic,AWD,Majestic Black Pearl,Red,7.0,4,Gas,12.6L/100km,9.4L/100km,60899
6,2020,Acura,RDX,27800 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5.0,4,Premium Unleaded,11.3L/100km,9.1L/100km,49099
7,2019,Acura,TLX,34396 km,Sedan,3.5L 6cyl,9 Speed Automatic,AWD,Crystal Black Pearl,Tan,5.0,4,Premium Unleaded,11.4L/100km,7.7L/100km,36499
8,2020,Acura,RDX,60892 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Majestic Black Pearl,Black,5.0,4,Gas,11.0L/100km,8.6L/100km,38495
9,2009,Acura,TSX,123535 km,Sedan,4 Cylinder Engine,6 Speed Manual,FWD,Silver,Black,5.0,4,Gas,10.5L/100km,7.0L/100km,11500
10,2015,Acura,TLX,192552 km,Sedan,4 Cylinder Engine,Automatic,FWD,Bellanova White Pearl,Black,5.0,,Gas,9.6L/100km,6.6L/100km,14888
11,2015,Acura,TLX,163537 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Dark Blue,Black,5.0,4,Gas,11.2L/100km,7.5L/100km,14971
12,2016,Acura,RDX,179301 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,,4,Gas,12.4L/100km,8.6L/100km,16399
13,2020,Acura,MDX,65684 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,12.3L/100km,9.2L/100km,40995
14,2017,Acura,RDX,211000 km,SUV,6 Cylinder,Automatic,AWD,Lunar Silver Metallic,Black,5.0,4,Gas,12.4L/100km,8.7L/100km,18999
15,2016,Acura,ILX,104368 km,Sedan,2.4L 4 Cylinder Engine,Automatic,FWD,Black,Black,5.0,4,Gas,9.3L/100km,6.6L/100km,20295
16,2015,Acura,MDX,205000 km,SUV,6 Cylinder,Automatic,AWD,Alabaster Silver Metallic,Black,7.0,4,Gas,,,20885
17,2017,Acura,RDX,166813 km,SUV,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,5.0,,Gas,12.4L/100km,8.7L/100km,20950
18,2016,Acura,MDX,207000 km,SUV,6 Cylinder,Automatic,AWD,Lunar Silver Metallic,Black,7.0,4,Gas,12.7L/100km,9.1L/100km,20995
19,2017,Acura,ILX,95000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,San Marino Red,Black,5.0,4,Gas,9.4L/100km,6.8L/100km,21950
20,2019,Acura,ILX,66208 km,Sedan,4 Cylinder Engine,Automatic,FWD,Lunar Silver Metallic,Black,5.0,4,Gas,9.9L/100km,7.0L/100km,22890
21,2016,Acura,MDX,174000 km,SUV,3.5,Automatic,AWD,White Diamond Pearl,Black,7.0,4,Gas,12.7L/100km,9.1L/100km,22990
22,2017,Acura,MDX,158248 km,SUV,V6 Cylinder Engine,Automatic,AWD,Modern Steel Metallic,Black,7.0,,Gas,12.6L/100km,9.0L/100km,25888
23,2019,Acura,TLX,43150 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Platinum White Pearl,,,4,Gas,10.2L/100km,7.4L/100km,33495
24,2016,Acura,MDX,89542 km,SUV,3.5L 6cyl,9 Speed Automatic,AWD,Black,Black,5.0,4,Premium Unleaded,12.7L/100km,9.1L/100km,28000
25,2019,Acura,TLX,92276 km,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Obsidian Blue Pearl,Black,,4,Gas,11.4L/100km,7.7L/100km,28295
26,2018,Acura,RDX,104000 km,SUV,V6 Cylinder Engine,Automatic,AWD,Modern Steel Metallic,Black,5.0,4,Gas,12.4L/100km,8.7L/100km,28450
27,2019,Acura,TLX,58610 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Crystal Black Pearl,,,4,Gas,10.0L/100km,7.1L/100km,28495
28,2017,Acura,RDX,71960 km,SUV,V6 Cylinder Engine,6 Speed Automatic,AWD,Lunar Silver Metallic,,5.0,4,Gas,12.4L/100km,8.7L/100km,28990
29,2018,Acura,RDX,98175 km,SUV,V6 Cylinder Engine,Automatic,AWD,Obsidian Blue Pearl,,,,Gas,12.4L/100km,8.7L/100km,29800
30,2019,Acura,TLX,89000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,Platinum White Pearl,,5.0,4,Gas,10.0L/100km,7.1L/100km,29850
31,2020,Acura,ILX,36253 km,Sedan,Premium Unleaded I-4 2.4 L/144,Automatic,FWD,Majestic Black Pearl,Black,5.0,4,Gas,9.9L/100km,7.0L/100km,29998
32,2019,Acura,TLX,62000 km,Sedan,4 Cylinder Engine,Automatic,FWD,Platinum White Pearl,Black,5.0,4,Gas,10.0L/100km,7.1L/100km,30950
33,2020,Acura,TLX,52337 km,Sedan,V-6 cyl,9 Speed Automatic,AWD,Platinum White Pearl,Black,5.0,4,Premium Unleaded,12.0L/100km,8.2L/100km,39799
34,2018,Acura,RDX,69806 km,SUV,3.5L 6cyl,6 Speed Automatic,AWD,White Diamond Pearl,Black,,2,Premium Unleaded,12.4L/100km,8.7L/100km,31249
35,2019,Acura,TLX,119000 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,5.0,4,Gas,11.4L - 12.0L/100km,7.7L - 8.2L/100km,31450
36,2019,Acura,ILX,48752 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Platinum White Pearl,,,4,Gas,9.9L/100km,7.0L/100km,31495
37,2019,Acura,TLX,53420 km,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,11.4L/100km,7.7L/100km,31495
38,2020,Acura,TLX,134000 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Blue,Black,5.0,4,Gas,11.4L - 12.0L/100km,7.7L - 8.2L/100km,32450
39,2019,Acura,TLX,27630 km,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,,4,Gas,11.4L/100km,7.7L/100km,32495
40,2019,Acura,TLX,82000 km,Sedan,3.5L V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Red,5.0,4,Gas,12.0L/100km,8.2L/100km,32950
41,2019,Acura,TLX,29012 km,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,11.4L/100km,7.7L/100km,33295
